
Boahji	pole-star
sálbma	psalm
sálggaheapme	without or with little salˈgâ
sálkat	be emptied; be cleared (e.g. of a table)
sálket	empty; clear (e.g. a table)
sállat	make a line or groove in
sállejeaddji	he who governs all things
sálten	salting
sáltet	salt (v.)
sálti	salt; salt water
sálttiidit	taste salt
sálttisis	rather salt
sálttášit	consider (too) salt
sáltudit	cause to salˈtot
sáltut	get saltier
sálva	ointment
sálvat	hook on to or bite and hold on to something; not to let go of something one has seized upon in one's need (= salˈvet)
sálvit	hook on to or bite and hold on to something; not to let go of something one has seized upon in one's need
sálvu	corner joint cut in the end of a log; joint between the logs in a wall
sálvu	gezimmerte Ecke
sálvu	wether
sálvvašit	hook on to or bite and hold on to each other
sálválas	apt to hook on to or (of dog) to bite and hold on to
sámil	generic term for species of mosses which can be used as house moss
sámildit	put moss between the timbers of the walls
sámmálastit	put moss between the timbers of the walls (= sāmeldit)
sámpá	papilla inside the cheek of cows
sámás	into the Lapp language
sámástit	talk Lapp
sánddat	Pleuronectes (flounder)
sándil	each of the curves formed by the thick netting twine which fastens a net for small fish on to the ræšˈme
sánehuvvat	get into the position of having no more to say
sápmelaš	Lapp; Mountain Lapp
sáppat	Finnish brogue
sáppát	Sabbath
sáras	(ei LpDict)
sárastit	dimin. of sārrât
sárdnumuš	something to speak of
sárdnut	speak
sárggit	einen Schnitt od. Riß machen
sárit	nickname of someone living in an island (from Finnish saari 'island')
sárji	(a single) rib without meat on it (= sarˈde 1)
sárjjas	an eye disease
sárjá	strip of wood lengthwise on a sleigh or toboggan
sárjádit	wound (v.)
sártnodeapmi	conversation
sártnuhit	cause to speak (in rhetorical questions with mī or mī...-gis); persuade
sátnelahkki	incomplete word
sátnelahkástit	talk in such way that one swallows half the word
sátnelásku	proverb
sátnemearka	present made by a suitor to show that his words are in earnest
sátta	consignment (concr.); provisions etc. that are sent (= sāddâg)
sáttuhit	get to sadˈdot
sávaldat	wish (s.)
sávarihkku	iron fastening for a shaft
sávdnjet	fit together (boards)
sávdnádaddat	have a steam-bath
sáve	large tub
sávlla	Larve der Rachenbremse
sávrudit	caus. of sawˈrot
sávrut	become sawˈre
sávvalit	subit. of sāvvât
sávvat	wish (v.)
sávvat	wünschen
sávvát	each of the upright thin poles on the framework for hay
sávza	sheep
sávzadat	(whole) sheepskin with the wool on
sáđgi	flat heath; flat grassy plain (sometimes with willow bushes)
sáđđu	husk; (pl.) chaff
sáđđui	full of chaff
sáŋardit	repent (bitterly)
sáŋgár	hero; healthy young man
sážadit	contin. of sāččât
sážan	one who constantly pushes (= sâǯân); also: a long pole for punting a boat
taga	without
teadja	tea
teahtásmit	become (more) water-tight (of utensil etc.)
teaiga	portion of wood assigned by the forestry authorities to supply fuel for a farm
telegrámma	telegram
tempel	temple
teret	(pulmonary) consumption
tieltá	non-Lapp tent
tiggedit	contin. of tigˈgit
tiibmet	chime (a bell)
tiida	old superstition
tiidii	superstitious
tiila	(roof) tile
tiila	diamonds (at cards)
tinet	earn (money)
toardna	tower
toavva	thick rope
tohppa	(sugar) loaf
treagga	grapnel (boat's anchor)
tregget	anchor (a boat)
trillet	wheel (in a wheelbarrow)
truvdnu	throne
tulján	foolish person; foolish
tuljár	foolish person; foolish
tulját	foolish person
tullet	pay the (customs) duty on
tuollu	(customs) duty
turkalaš	Turk
turkkagiella	the Turkish language
tuvdni	heap of manure or rubbish
táhkkal	tackle
táhpa	loss
táhpet	lose
udjosaddat	several times show signs of bashfulness
udjosit	become bashful and retire somewhere
udnonvuohta	(the) wishing someone (something good) (= udˈno)
udnot	wish someone (well or ill)
udnu	(the) wishing someone (something good)
uhcabummeš	the small roller of a loom (= lukˈkar 2)
uhcagaccaš	lateral toe
uhcagielagaš	who has a defect of speech (= unnâ-gielâgâš)
uhcahaš	a little one (of children)
uhcačovžoš	a species of snipe (= rukˈsisjuol-čoawǯo)
uhccudit	cause to ucˈcot
uhccán	little (= not much)
uhccánaččaid	in small portions
uhccánaš	(very) little
uhcimus	least
uhcimus	smallest
uhcit	less
uhcáhastalit	constantly uccakâsˈtet
uhkidit	threaten to do harm to someone (esp. to cast a spell on someone)
uhkádus	threat (especially to cast a spell on someone)
ulddas	very silent and shy
ullo	Wolle
uminddet	not of age; inexperienced
unačuolmmaš	he small knot at the free end of a lasso
unnabummeš	the small roller of a loom (= uccâ-bubmiš)
unnagaccaš	lateral toe (= uccâ-gâʒʒâš)
unnimus	least (= uccemus²)
unnit	less
unnoraš	a little one
unnudit	cause to ucˈcot (= ucˈcodit)
unnut	become smaller (= ucˈcot)
unnáhastalit	constantly uccakâsˈtet (= uccakâsˈtâlit)
unnán	little (= not much) (= ucˈcan)
unnánit	diminish (= ucˈcanit)
unohastalit	freq. of unukâsˈtet
upmolcizáš	a kind of ciʒaš (= laggjŏ-ciʒaš)
uradas	person who does a great deal of harm (esp. of reindeer thieves)
urbmi	stunted person or animal; dispirited person; stunted (of persons and animals); dispirited
urbmut	become stunted; become dispirited
urddis	groove or depression along a log one is trying to split
urdi	groove or depression along a log one is trying to split
urggo-	(pl.) organ (musical intrument)
urká	person or animal (esp. reindeer) of exceptionally small size
urká-	urˈka-dækˈke: roundish muscle fastened to the humerus
urmáhkár	watchmaker
urra	cairn
uske	Türseite (der Lappenhütte od. Stube)
usket	threaten to do harm to someone (esp. to cast a spell on someone) (= ukkedit)
uskin	near or from near the door (inside the door)
ustibaš	little friend; usˈtebâǯˈǯâm: my dear friend
ustibaš	pl. usˈtebâǯǯâk: friends (mutually)
ustit	friend (of either sex)
ustitlaččat	in a friendly way
ustitmeahttun	unfriendly
ustitvuohta	friendship
utnoheapme	who does not wish others well
utnolaš	who wishes others well
utnuhisvuohta	(the) not wishing others well
uvdna	big country fireplace (with its chimney); any kind of fireplace with a chimney
uvja	down
uvjaluvvat	become so worn that only the fine downy hair is left (of articles made of skin)
uvjet	collect down; line with down
uvjái	(filled) with a great deal of down (of bird and nest)
uvlu	Bombus (bumblebee)
uvrrus	top log of the long wall of a log house
uvsso-	door- (in compounds)
uvssohat	the place outside in front of the door
uđas	avalanche (of snow)
vadjasit	happen to get or be able to be cut or clipped (off)
vadnát	lie extended full length
vahca	loose snow
vahccái	with a great deal of loose snow
vahkkosaš	a week old; so-and-so many weeks old (of living creatures)
vahkku	week
vahátlaš	harmful
vajos	past without stopping
vajáldahttit	forget; leave behind
vajálduhttit	forget; leave behind (= vâjaldâtˈtet)
vajálduvvalas	that easily gets forgotten; that is easily left behind
vajálduvvat	get forgotten; get left behind
vakŋa	part of ear-mark: longish curved cut not going far into the ear
valas	red char (Salmo alpinus) which has been living in salt water
valjášit	think something (too) ample
vanahit	stretch out (trans.); drag along (an unwilling animal or something heavy)
varaheapme	with little blood; very pale
varahuvvat	get little blood; get very pale
varas	fresh; new; place where reindeer have not pastured recently
vardil	apt to bleed (= vârˈdalâs)
vardit	bleed
vardálas	apt to bleed
vardát	begin to bleed
vare	I wish
varit	two-year-old male reindeer
varra	blood
varrasupmi	extravasation of blood
varrasuvvat	get an extravasation of blood
varračuolbma	embryo in the initial stage (speaking of miscarriage)
vatnalahttit	cause to vâdnâlit; stretch (oneself; of one who is tired); reach after
vavddas	something in which something (esp.  net or seine) sticks or catches
vazadat	the kind of going when there is loose snow
vađastit	dimin. of vâđđot; fling (= vâđostit)
vađustit	dimin. of vâđđot; fling
vašuhit	hate
vašálaš	hostile; enemy
vašáskit	get furiously angry (with someone)
vaššolat	frosty wind (= vâššo)
vaššu	frosty wind
veaddji	capable and persevering in work; influential
veadjemeahttun	impossible
veadjočuoibmi	either of the two stakes used in olden times in bear-hunting
veahkkivuohta	(a person's) helpfulness
veahkkái	helpful
veahkkáivuohta	helpfulness
veahkálaš	helpful (= vækˈkai)
veahtadas	something used to dilute something else so that it may not be too much salt
veahtalit	bet (against) someone; bet (against) each other
veahtat	bet (= vættet)
veahtašit	consider vǣttâs
veahtit	bet
veahttabeana	a kind of card-game
veahttalit	subit. of vætˈtât
veahtu	bet
veahtu	something by which a person or animal is very much tied
veahčir	hammer
veaidnečoarvi	reindeer (with) antler which is twisted inwards towards the other antler; antler with a blemish
veaiga	wraith
veaigut	become twilight
veaiki	copper
veaikái	rich in copper; with a great deal of copper visible (of tinned copper kettle etc.)
veaisidit	sing (the word is only used in joke)
veaiva	crank-handle
veaja	something used to make things balance or to make one thing weigh more than the other
veajanas	something used to make things balance or to make one thing weigh more than the other (= vǣjâ)
veaksi	fin (of fish)
vealgi	debt; credit
vealgugas	in debt; debtor (= vēlgulâš)
vealgut	demand (a sum)
veallánaddat	go to bed (of several)
veallát	lie (of an animal: lie on its side)
vealta	trump
vealttadit	contin. of vælˈtât
vealčasit	slip to the side (e.g. of hand)
veanzi	ugly mouth with the lips turned outwards; child who constantly screams
veanzut	grimace; scream with a wry mouth
veanzut	in a very wry position (of screaming child’s mouth)
veanzzagit	become vǣnʒâs
veanzát	be very wry (of screaming child’s mouth); scream with a very wry mouth (of child)
veara	worth; worth while (for someone) to do so-and-so
veardde	in such-and-such a quantity
veardi	mouthpiece of pipe; handle (of rake)
veardásaš	that can be compared to so-and-so; of such-and-such a value
vearidit	make (child) more wild and unruly
vearjjuiduvvat	get provided with weapons
vearra	fishing station
vearrasaš	of such-and-such a value
vearrut	wrongly
vearrábut	worse (adv.)
vearrámus	worst
vearrámusat	worst (adv.)
vearránahttit	caus. of værranit; (relig.) offend
vearsa	verse (of hymn or song)
vearta	worth so-and-so much
veartasaš	of such-and-such a value (= vǣrrâsâš)
vearuheapme	free of tax; for (the killing of) which there is no reward
veasta	vest
veastalis	(from) farther west; (from) west of
veastta-	west(-)
veasttal	in or from the west
veavdit	keep on stopping to wait for and so get to come along
veavssástit	swim so high in the water that the dorsal fin sticks up above the surface or is seen just below it
veavvát	be craning the neck
veađas	blown or swept bare of snow
veađđat	blow the snow away (from)
veaŋga	the cabin of a Nordland boat
veašidit	carry or pull with difficulty
vehtiidit	taste washy
vehtor	little kjerris which is pulled by people
veivet	turn (a crank); turn up; talk rubbish
vejolaš	possible
vejolašvuohta	possibility; opportunity
velggolaš	in debt; debtor
velgohit	sell on credit; get on credit
velledit	lie down
vellehit	make (a person or an animal) lie down; lay (something) down
veltet	plough
venzolas	apt to vænˈʒot
venzzon	one who constantly does what is denoted by vænˈʒot
verddeš	guest-friends etc. (mutually)
verjet	arm (trans.)
verrát	gate (in fence)
vesáiduvvat	get covered with small deciduous trees; get suckers (of trees)
vesáluvvat	get covered with small deciduous trees; get suckers (of trees) (= vesaiduvvât)
vevvet	crane the neck (to see); of animal: raise its neck and prick its ears
vieccistit	as descr. verb with goccet: struggle with sleepiness in the evening (of children)
viedni	apt to viednât (= viednâlâs)
viednil	apt to viednât (= viednâlâs)
viegalmas	(constant) coming and going (of people)
vieggasit	catch in something; get stuck (when speaking); fall because one's foot catches in something
viehkaladdat	run off (of several); run a great deal
viehkalahttit	cause to viekkâlit; run off after (to overtake); run off with something
viehkalas	apt to run
viehkat	run (of two-legged creatures)
viehkki	much given to running
viehkástallat	behave in a crafty way
vieksi	common seal which is not yet a year old but is no longer suckled
vieljaš	brothers (mutually)
viellja	Bruder
viellja	brother
vielppis	puppy
vielti	(hill-)slope
vieres	fremd; nicht verwandt; nicht zur Sache gehörig
viergat	put a vierˈge on a (man's) winter cap
vierggeheapme	which has no vierˈge
viergi	dark furry skin brim (usually of otter-skin) outside on a (man's) winter cap
viergi	dunkle Pelzeinfassung an der Wintermütze der Männer; schmale Pelzeinfassung an der Öffnung des ledernen Fausthandschuhs; Kante des Kragens des lappischen Pelzmantels
viergádit	put a vierˈge on a (man’s) winter cap (= vierˈgât)
viesihit	suddenly become (a little) tired
viessalas	that easily gets tired
viessi	that easily gets tired (= viessâlâs)
viessil	that easily gets tired (= viessâlâs)
viessu	dwelling house
viesttar	west wind; west (only when speaking of weather or wind)
vietka	a kind of tool with a curved edge for hollowing out large things
vietnalas	apt to viednât
vietnan	overstrain of sinew(s); (painful) swelling due to overstrained sinew(s)
vietnat	get overstrained (of sinews); become painful and swell owing to strained sinew(s)
vievssis	vespa (wasp)
viežžat	fetch
viggalas	that very much wants to go somewhere
vigálaš	guilty
vihahit	marry (a couple)
vihkut	find something wrong with someone or something
vihpat	fail to arrive in time; stay long somewhere
vihtan	witness; mark on land which shows where a fishing ground is situated or where fishing gear has been put out
vihtanuššat	give evidence
vihtta	five
vihttii	five times
vihttu	cunnus
viibat	fail to arrive at time; stay long somewhere (= vippât)
viiddu	of the same width or extent as so-and-so; of such-and-such a width
viidnanaga	stained with spirits or wine; with traces or a smell of spirits or wine; under the influence of spirits or wine
viidnenaga	stained with spirits or wine; with traces or a smell of spirits or wine; under the influence of spirits or wine (= viiˈdnânâǥâ)
viidudit	cause to viiˈdot
viidásit	far and wide; circumstantially (= viiˈdat)
viigá	vulva of female reindeer (and other female animals)
viimma	at last
viinna	wine
viinnahuvvat	get stained with spirits or wine; get under the influence of strong drink
viiset	sing ditties etc. or songs (not hymns)
viissár	hand (of a clock or watch)
viisá	wild reindeer which goes in front of the herd and leads it
viivvuhuvvat	become viivotæbmĕ
viivvurtuvvat	become viivortæbmĕ
vikkahat	instinctive impulse to go somewhere
vikša	hank
vilbealle	(male) cousin; (male) second cousin
vildadit	cause to vilˈdât
vilddošit	think that the water in (part of) the river is too high
vilegissá	top (toy)
vilgesoairássi	Eriophorum (bogcotton)
vilgesskuolfi	Nyctea scandiaca (snowy owl) (= jiewˈjâ-skuolˈfe)
vilgon	name of a white cow
villat	dash off without knowing what one is doing
villi	upright pole in an enclosure for netting salmon
vilpolas	apt to vilˈpot 1
vilppagit	become vilpâs
vilppastit	dimin. of vilˈpot
vilppihit	suddenly turn the head and look (= vilpadit)
vilppádit	suddenly turn the head and look
vilput	turn the head and look about; become wild
vilššagit	become vilšâs
vilššastit	dimin. of vilˈšot
vilššádit	mom. of vilˈšot
vinjučoarvi	reindeer whose antlers do not stand symmetrically (= vinj-oaiˈve)
vinta	device for drawing water from a well; the (well-)sweep itself
vintet	draw up water from a well
vintán	Fringilla montifringilla (birch-finch)
virba	each of the upright poles of a stawˈra or a luovve for putting hay on
virdái	with a very strong current
visostit	take all (e.g. when raking hay); search carefully everywhere
vispet	whisk
vispil	whisk
vispilastit	whisk
vissis	certain; definite
vista	whist (card-game)
viste	Zimmer; Stube
vistilit	subit. of visˈtet in inchoative sense
vistta	reindeer's or cows eager rush to get mushrooms or something else that they want; mushrooms etc. which reindeers or cows rush to get
visttan	reindeer or cow which has a bad tendency to visˈtet; apt to visˈtet (= visˈtalâs)
visttástuvvat	get spoilt by being too much in the house (e.g. of dog)
vistálas	apt to visˈtet
vitku	little wisp of hay for a farm animal
vitta	fin (of fish)
vivva	son-in-law
vivvabealle	one's step-daughter's husband; one's brother's or sister's daughter's husband; one's consort's brother's or sister's daughter's husband
viđadassii	fifthly; for the fifth time
viđat	fifth
viŋkil	square (carpenter's tool)
višuhuvvat	lose the desire to work
viššalaččat	adv. formed from viššâlâš
viššat	bark (when ordered) at reindeer and drive them together by running and barking
vuhpodit	contin. of vuopˈpot
vuhpon	glutton
vuhppolas	gluttonous
vuhtodit	contin. of vuotˈtot
vuhttodit	contin. of vutˈtut
vuhččohat	place with marks left by treatment (pinching) for vučˈčum
vuhččon	painful tenderness in the muscles
vuhččot	be attacked by vučˈčum
vule	tie-beam
vulgot	shorter passive of vuolˈget
vullot	shorter passive of vuollât
vuobirs	three-year old male reindeer
vuobmái	where there is a great deal of woodland
vuoddji	swimming; that can swim; swimmer
vuoddji	very good at driving
vuoddji	very good at swimming
vuodjan	swimming
vuodjat	swim
vuodjeleaddji	driver (the reindeer herdsman who goes behind the herd when it is on the march)
vuodjilahttit	cause someone to vuoggjelit
vuodjilit	drive (a short time or a short distance) at a good pace
vuodjáladdat	be driving at a good pace
vuodnái	with a great many fjords
vuoggaras	scab-like rash
vuohku	adjustable iron hook at the end of a skērtig
vuohppa	father-in-law
vuohpput	gobble up; eat greedily
vuohppát	back water (row backwards)
vuohppášit	back water (row backwards) (= vuopˈpat)
vuohttil	good at finding tracks
vuohttát	begin to find tracks
vuohtus	of animal: which has left many tracks; of a track (way): easy to see
vuohčudit	make something (esp. marrow in a marrow-bone) melt into fat
vuohččan	in the first place (= vuostâǯēddiin)
vuoi	ach o o weh
vuoi	damit
vuoiddadus	anointing (relig.)
vuoiddastit	dimin. of vuoiˈdât; (fig.) hit someone hard once
vuoiggihit	mom. of vuoiˈget
vuoigŋa	spirit; breath
vuoigŋat	breathe
vuoigŋašat	brain
vuoisat	(impers.) be felt a sharp pain (sic)
vuoissadit	contin. of vuoiˈsât
vuoissihit	mom. of vuoiˈsât (= vuoisadit)
vuoissádit	mom. of vuoiˈsât
vuoitemeahttun	invincible; unattainable
vuoiti	conqueror; winner
vuoittahahttit	cause someone to lose
vuoittihahttit	(perhaps unintentionally) cause someone to win
vuoivvas	liver
vuoivvasoažži	diaphragm
vuoiŋŋadit	be breathing; rest; rest in the grave
vuoiŋŋadus	rest (relig.); rest in the grave
vuoiŋŋahat	breathing
vuoiŋŋalaččat	in a spiritual way
vuoiŋŋalaš	spiritual
vuoiŋŋamaš-	brain (= vuoiŋâš-)
vuoiŋŋanas	a single breath; breath
vuoiŋŋastat	a single breath
vuojahat	portion of fjord or good-sized river where the reindeer are made to swim across; part of enclosure for netting salmon; etc.
vuojaldahttit	swim off after (to overtake); swim off with (taking) someone or something
vuojaš	Dafila acuta (pintail duck)
vuojehit	drive (tr.)
vuojestit	dimin. of vuoggjet (often used boastfully)
vuojildit	often be out driving
vuoján	driving-reindeer; good horse
vuoksi	span (the distance between the extended thumb and the extended forefinger or middle finger)
vuoksái	wide (of fishing net)
vuokta	hair of the head (of human)
vuoktafiehta	Fuligula fuligula (a species of scaup)
vuoktagoalsi	Mergus serrator (little goosander)
vuoktái	who has long hair
vuokŋut	get thoroughly rested (of draught or pack reindeer)
vuoladit	contin. of vuollât; (fig.) swear a great deal
vuolahas	chip; shavings
vuolahastit	stretch (reindeer leg-skins) by placing shavings on them
vuolahat	place where one has whittled; chip (from whittling)
vuolggahus	sending; dispatch (abstr.); consignment
vuolggihit	cause to vuolˈget
vuolgilit	subit. of vuolˈget
vuolildit	slip under something (and go on); esp. of salmon which slip under the net
vuollat	whittle (with knife); plane
vuolle-	that is down; lower
vuollebealli	lower part of net or seine
vuollin	down; far down; from below; by or from the lower part of
vuollu	(noisily expressed) delight
vuollu	nickname of a person living in the lowest farm
vuolládat	low-lying ground
vuollásaš	who comes next after so-and-so in age or rank
vuollásit	in a helpful or an obliging way
vuolpu	skirt (non-Lapp garment)
vuoluš	something which is under another thing
vuoláš	saucer
vuolši	(visible) inflamed muscular tissue in a wound or abscess; inflammation on pupil of eye
vuolšudit	cause to vuolˈšot
vuomádat	not very marked woodland
vuomáiduvvat	take on the character of woodland
vuomástahttit	show the beginnings of woodland (of terrain)
vuoncádeahkki	the soft part underneath a horse's hoof
vuoncáfálli	Astur palumbarius (chicken-hawk)
vuoncávarris	cock
vuoni	mother-in-law
vuonjal	two-year old female reindeer
vuonjaldat	(whole) skin of a two-year old female reindeer
vuopmat	wide (only of cloth)
vuopmi	woodland (as opposed to bare mountain)
vuorahat	staggers (disease) in animals
vuorasmit	age v.
vuorasmuvvat	age (= vuorâsmit)
vuorasvuohta	(old) age
vuorašit	consider (rather) old
vuoražas	Corvus cornix (crow (hooded))
vuoražasmuorji	berry of Empetrum nigrum (black crowberry) (= vuorˈča-muorˈje)
vuorbi	either of the two handles on the pole of a scythe of the Norwegian type
vuorbádit	cast lots
vuorbádus	casting lots
vuorda	unusually strong brine
vuordda	the thing which is expected
vuorddašit	rather expect; have a vague hope concerning something
vuorddildit	constantly be expectant; rather expect (with little prospect of fulfilment)
vuorddálmas	something one has (long) expected
vuordálas	apt to be prematurely and exaggeratedly expectant
vuordát	begin to expect
vuorggu	the marrow-bone below the čibˈbe
vuorjalas	apt to vuorˈjât
vuorjjášit	consider (too) vuorˈje
vuorru	salmon which winters in fresh water
vuorrástuddat	freq. of vuorˈrastuvvât
vuortnis	oath
vuorčámuorji	berry of Empetrum nigrum (black crowberry)
vuorččis	Corvus cornix (crow (hooded))
vuoskku	Perca fluviatilis (perch); Sebastes marinus (Norwegian haddock)
vuosmmestit	have vuosmĕs-sensations
vuosmmis	the morbid attitude shown by some pregnant women towards food
vuossi	handle of a cooking-pot or kettle
vuossu	bellows
vuostebuođđu	oaʒes with net
vuostehágolaš	refractory
vuostehágostit	resist
vuosteháhku	refractoriness; resistance
vuosti	wind or weather that goes in the opposite direction to that in which someone is travelling
vuostil	on the windward side; (past) to windward of
vuosttamus	the (very) first
vuosttas	the first
vuosttažettiin	in the first place
vuosttáiduvvat	become well supplied with cheese
vuostá	against (implying contact); etc.
vuostá	cheese
vuostái	with a great deal of cheese (in it)
vuotna	fjord; also of a long arm of a lake
vuotnalaš	lucky
vuotnámastalit	use the term vuone in addressing a person (to someone)
vuotta	brogue-band
vuottahat	the small of the leg with komag band tied round it (= giesâtâk)
vuovda	nesting box for ducks
vuovda	the cavity inside an animal's body; abdominal cavity of the human body
vuovddal	with a hollow in it (of tree or thing made of wood)
vuovdde	Wald
vuovddehas	person or reindeer that prefers to be in the woods
vuovdduštit	eat greedily; bite off more than one can chew
vuovdimassii	for sale
vuovgit	express one's astonishment
vuovssaheapme	narrow (of net and seine)
vuovssanas	vomit
vuovssihit	caus. of vuokˈset
vuođđalohku	date (year)
vuoŋas	halter or band on the muzzle of a dog
vuoŋásmit	get thoroughly rested (of draught or pack reindeer)
vuoŋásmuvvat	get thoroughly rested (of draught or pack reindeer) (= vuoŋasmit)
vuoššat	boil (tr.); infuse (tea); brew (beer); distill (spirits)
vuoššus	the amount sufficient for a meal of boiled food; something to boil
vurtnoldahttit	extract the truth out of someone or secure a hold on someone
vustet	make cheese
vuvdošit	eat greedily; bite off more than one can chew (= vuowdoštit)
vuššot	shorter passive of vuošˈšât
vužodit	contin. of vuoččot
váccahat	lashing of twisted withe or twisted birch branch round something
váccus	considerable distance to go; each of the two places in a river-boat where those who are punting it stand
váccáldahttit	cause to vaʒˈʒelit; drive off at a walk (horse or ox); set off to overtake someone or something; set off with something (= vaʒˈʒelâtˈtet)
váddudit	make difficult
váddut	become difficult
vádjitvuohta	lack of something; poverty
váguhit	warn seriously; enjoin something on someone
váhkar	a woman's last child
váhkolastit	place several of what is denoted by vākkulâs on the top of a stawˈra
váhku	the glutinous coating one gets on one's fingers when eating fish; fish-liquor (water in which fish has been boiled)
váhpi	(in the compound čaccĕ-vappe)
váhttar	spirit-level
váibamassii	so that one gets tired
váibbadit	contin. of vaiˈbât (also freq.)
váibbahit	cause to vaiˈbât (in rhetorical questions with mī or mī...-gis)
váibbas	tired; (pl.) tiredness
váibmoláđis	merciful
váibmosuotna	artery
váibmu	heart
váidot	shorter passive of vaiˈdet
váidálas	apt to vaiˈdet
váiga	seeing ghosts or hearing ghostly noises
váigačáhci	moisture from the mouth of a corpse (plays a part in superstition)
váimmoskit	get courage for something; become revengeful
váimmosmuvvat	get courage for something (= vāimuskit 1)
váimmálmuvvat	become more inclined for
váipe	horse-cloth
váksat	put a new vakˈse on a mitten (= vakˈsadit)
válbi	unpleasant dispensation of Providence
válbmašii	(into) the finished state
válddihit	caus. of valˈdet
válddáhat	each of the three tent-poles which form the supporting part of the framework of a lavvo-tent; etc.
váldálas	apt to take
váldát	begin to do (something which is unreasonable); set in to be (long-continuing weather of such-and-such a kind)
válga	election
válganit	be a result (some result or other); with neg. or doubt: be any result
válgat	push a fishing net along under the ice
válkká	Fett zwischen Bug und Hals des Rentiers
válká	fat on the flesh (on other side) of reindeer's neck
válla	tiller (of sea-going boat)
válli	oath
válljejeaddji	elector
vállju	(mainly in comp.) excellent; (in.-el.) affording an ample selection
válljugas	excellent
vánddis	Sorex minutus (dwarf shrewmouse)
vánhen	one of the two parents; (pl.) parents
váravárpá	Phyllodoce coerulea (a kind of heath belonging to the Rhododendroideae)
várehuvvat	be deprived of one's supplies; get less able to afford
váret	concern
várjjagaš	person from Varanger
várju	Zelttuch für den Unterstand (meistens aus Sackleinwand)
várju	shroud
várpa	the rope into which a skalˈǯo-plūǥâ is fastened
várpá	either of the two wooden bars to which the threads of the warp are tied in twos
várra	I suppose (often in boastful or supercilious remarks)
várra	care
várrehus	warning
várri	mountain
vársá	Fohlen
várve	lathe
várvet	turn (on a lathe)
várveš	possessing sharp sight or quick hearing
várálaš	who is well off
várát	use a vāra on (a log or board)
vásedin	expressly; specially (for such-and-such a purpose); strictly speaking
vástádus	answer
vását	(going) on after a short stop (not as long as a night)
vátnivuohta	shortage
vátnudit	cause to become insufficient; cause something to run short for someone
váttásmit	become (more) difficult
váttásmuvvat	become (more) difficult (= vaddasmit)
váttášit	consider (too) difficult
vávas	strange
vávašit	consider strange
vávjot	become the object of criticism or disapproval; get thrown over (by one's sweetheart) (= vawjatâdˈdât)
vávvá	doll
vávvát	stare (without craning the neck)
vázzilahttit	cause to vaʒˈʒelit; drive off at a walk (horse or ox); set off to overtake someone or something; set off with something
váđot	Rubus arcticus (arctic raspberry)
váđđogeađgi	iron sinker on a trolling line (= ruowˈdĕ-gæđˈge)
váđđu	handline (for fishing)
váža	full-grown female reindeer (which already has or has had a calf)
vážus	each of the loose crossbars on a frame for drying fish
á	the letter 'a'
ábbasit	become so full that the contents overflow; overflow the edge of a utensil; come in over the edge
áberávku	a grasping person
ábiruvvá	mermaid
ábohallat	be useful several times
ábuhallat	be useful several times
áddehahtti	comprehensible
áddemeahttun	incomprehensible; unwise
áddestuvvat	be able to understand
áddet	understand
áddjot	shorter passive of aggjet
áddjubaš	grandfather with his grandchild
áddjubaš	little grandchild (of a man)
áddjut	a man's grandchild
áddjájit	slowly; in a slow way which wastes time
ádju	treeless plain
ádju	with all one's strength
ádjáladdat	several times drive (away); try to drive (away)
áfi	sunburn
áfáiduvvat	become sunburnt
áhcagahttit	make something red-hot
áhcagastit	become red-hot
áhci	space between hind legs
áhkacincu	Cyclopterus lumpus (species of fish)
áhkalakkis	Somniosus microcephalus (Greenland shark)
áhkkubaš	grandmother and her grandchild
áhkkubaš	little grandchild (of a woman); dear grandchild
áhkkut	a woman's grandchild
áhkká	wife
áhkábiddu	Cottus scorpius (species of fish)
áhkámearkaboazu	reindeer marked with the wife's mark
áhkáš	husband and wife
áhkáš	little wife; dear wife
áhpebiegga	sea breeze
áhpedovtta	Colymbus glacialis
áhpeguolli	fish caught out at sea
áhpehuvvat	be weakened
áhpenjuorjju	Erignathus barbatus (a kind of seal)
áhpparaš	very deep place in the water
áhpánit	put to sea
áhpásmahttojupmi	strengthening
áhtemárki	a coin which is no longer current
áhttán	ice on salt water
áhčešeatni	name of a woman in a folktale; Thanatophilus lapponicus (a dung-beetle)
áhčáš	little father; dear father
áhččemin	the Lord's prayer
áhčči	father
áibbas	quite; too
áibbasguorosluovdi	quite empty boat
áibmat	(ei LpDict)
áibmat	manage (reindeer which have to be collected or taken somewhere)
áibmi	triangular needle (for sewing leather or furs)
áibmodutki	meteorologist
áiccahisvuohta	inadvertence
áiccastit	notice a particular thing (or circumstance)
áicát	begin to observe something
áiddodit	be for a long time engaged in putting up a fence or enclosing something with a fence
áiddustit	be very much busy with the work of putting up a fence or enclosing something with fence
áidi	fence; barrier (for reindeer)
áidnaváldu	the strongest male in the herd; the dominating person (in a family or at a meeting)
áidnoriegádan	only begotten (in biblical sense)
áiduladdat	be several times engaged in putting up a fence or enclosing something with a fence
áigejorggáldat	solstice
áigga	intention
áiggebále	while there is time; before it is too late
áiggegollu	waste of time; pastime
áiggelassii	in course of time
áiggeájáhus	something one does to pass the time
áiggálaš	temporal
áiggáš	(good) time
áiggáš	belonging to a (certain) time
áigi	time
